Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
1546,1546,0,32b,01b4e8,fff7e2ab00
1547,1547,0,32c,ff258c,fff830ae00
1548,1548,0,32d,f5c28f,fff8878200
1549,1549,0,32e,f0a3d7,fff8dcab00
1550,1550,0,32f,efc963,fff9202a00
1551,1551,0,330,f17e4b,fff946f200
1552,1552,0,331,f77778,fff9516400
1553,1553,0,332,fe4b18,fff94ed600
1554,1554,0,333,ec5f93,fff9456a00
1555,1555,0,334,f69d03,fff93bfc00
1556,1556,0,335,044444,fff928e000
1557,1557,0,336,00da74,fff902cc00
1558,1558,0,337,f40da7,fff8b80600
1559,1559,0,338,eaaaab,fff83c0e00
1560,1560,0,339,ec5f93,fff795ab00
1561,1561,0,33a,eeeeef,fff6d8f900
1562,1562,0,33b,ed3a07,fff61dbc00
1563,1563,0,33c,f851ec,fff5819900
1564,1564,0,33d,fd70a4,fff51ed100
1565,1565,0,33e,044444,fff5117000
1566,1566,0,33f,00da74,fff561bb00
1567,1567,0,340,fae148,fff607ff00
1568,1568,0,341,f33333,fff6e43c00
1569,1569,0,342,ed3a07,fff7c6bd00
1570,1570,0,343,eaaaab,fff878b800
1571,1571,0,344,ec5f93,fff8ccaf00
1572,1572,0,345,ee147b,fff8aa1400
1573,1573,0,346,f5c28f,fff818a500
1574,1574,0,347,000000,fff73f8300
1575,1575,0,348,000000,fff6585100
1576,1576,0,349,ff258c,fff5a05900
1577,1577,0,34a,fa06d4,fff5426300
1578,1578,0,34b,ec5f93,fff5487d00
1579,1579,0,34c,e9d037,fff59b5d00
1580,1580,0,34d,e8f5c3,fff6069100
1581,1581,0,34e,e9d037,fff6515e00
1582,1582,0,34f,eb851f,fff64b5100
1583,1583,0,350,fae148,fff5e91b00
1584,1584,0,351,fc9630,fff53e6a00
1585,1585,0,352,fc9630,fff47d5800
1586,1586,0,353,fae148,fff3d9b000
