Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
2848,2848,0,529,e740db,fff7c59700
2849,2849,0,52a,eb851f,fff73d9900
2850,2850,0,52b,ed3a07,fff67d1a00
2851,2851,0,52c,ee147b,fff586fe00
2852,2852,0,52d,f92c60,fff47d0d00
2853,2853,0,52e,fae148,fff390df00
2854,2854,0,52f,ff258c,fff2f9f800
2855,2855,0,530,fc9630,fff2d73100
2856,2856,0,531,f851ec,fff32d7500
2857,2857,0,532,ed3a07,fff3db5000
2858,2858,0,533,e81b4f,fff4a8a500
2859,2859,0,534,e81b4f,fff5540f00
2860,2860,0,535,ed3a07,fff5ace100
2861,2861,0,536,eb851f,fff598a500
2862,2862,0,537,f69d03,fff5245500
2863,2863,0,538,fae148,fff474b500
2864,2864,0,539,f92c60,fff3bea600
2865,2865,0,53a,f77778,fff32cb200
2866,2866,0,53b,f851ec,fff2d9e400
2867,2867,0,53c,ec5f93,fff2c4fe00
2868,2868,0,53d,eaaaab,fff2dd2d00
2869,2869,0,53e,eeeeef,fff3097300
2870,2870,0,53f,e81b4f,fff3348300
2871,2871,0,540,f0a3d7,fff3592800
2872,2872,0,541,fbbbbc,fff37e2000
2873,2873,0,542,01b4e8,fff3bbf800
2874,2874,0,543,000000,fff427f400
2875,2875,0,544,f258bf,fff4c27c00
2876,2876,0,545,ed3a07,fff5750500
2877,2877,0,546,e147ae,fff604fb00
2878,2878,0,547,df92c6,fff62c8200
2879,2879,0,548,df92c6,fff5a65500
2880,2880,0,549,e9d037,fff45a0000
2881,2881,0,54a,f0a3d7,fff2651000
2882,2882,0,54b,fd70a4,fff0281500
2883,2883,0,54c,000000,ffee25fb00
2884,2884,0,54d,fe4b18,ffece61d00
2885,2885,0,54e,f851ec,ffecc20100
2886,2886,0,54f,eeeeef,ffedc9a200
2887,2887,0,550,e81b4f,ffefba4100
2888,2888,0,551,e740db,fff2132100
2889,2889,0,552,e3d70a,fff4394000
2890,2890,0,553,e4b17f,fff5a56100
2891,2891,0,554,ee147b,fff6089800
2892,2892,0,555,f0a3d7,fff55a1f00
2893,2893,0,556,f40da7,fff3d45b00
2894,2894,0,557,f77778,fff1da5b00
2895,2895,0,558,fd70a4,ffefe5ca00
